Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
30 minutes,4,296,42,"April 19, 2024",3,6,4 servings
20 minutes,5,"8,617",666,,3,6,4 servings
1 hour,4,661,64,,5,23,2 large servings
25 minutes,4,793,168,"April 15, 2024",2,10,4 servings
30 minutes,4,"1,035",66,,4,11,4 servings
40 minutes,4,305,52,"April 17, 2024",4,12,4 servings
45 minutes,4,"8,080",738,,3,11,4 servings
20 minutes,4,"1,044",71,,2,6,4 servings
45 minutes,5,"9,877",850,"March 29, 2024",2,6,4 servings
40 minutes,4,523,93,"Oct. 12, 2023",5,8,4 servings
50 minutes,4,964,87,,5,8,4 servings
25 minutes,5,"4,411",388,"March 27, 2024",4,8,4 servings
50 minutes,4,256,51,"Oct. 12, 2023",4,10,4 to 6 servings (about 8 cups)
35 minutes,4,"2,206",169,,3,10,4 servings
1 hour,4,484,71,"Feb. 16, 2024",5,11,4 servings
30 minutes,5,"10,332",966,,4,11,4 servings
1 hour 5 minutes,4,343,62,"April 18, 2024",3,19,4 servings
30 minutes,4,"5,838",524,,5,12,4 to 6 servings
30 minutes,5,"1,561",231,,3,10,8 servings
1 hour,4,"1,325",71,,4,10,6 to 8 servings
40 minutes,4,210,42,"Oct. 11, 2023",6,12,2 to 3 servings
"2 hours 35 minutes, plus overnight soaking",4,46,5,"April 19, 2024",6,15,6 to 8 servings
About 1½ hours,4,15,6,"April 19, 2024",4,9,6 servings
20 minutes,4,354,46,"April 4, 2024",4,8,4 servings
About 2 hours,4,28,16,"April 19, 2024",6,17,4 main-course servings or 6 to 8 appetizer servings (about 9 cups)
30 minutes,4,201,42,"April 19, 2024",6,7,4 servings
40 minutes,4,193,25,"April 12, 2024",2,15,About 10 patties
1 hour,4,23,8,"April 3, 2024",5,9,4 to 6 servings
25 minutes,4,374,112,"April 5, 2024",6,7,4 to 6 servings
20 minutes,,0,0,"April 24, 2024",2,8,4 servings
About 2 ¾ hours,3,79,10,"April 16, 2024",5,7,8 to 10 servings
1 hour,4,191,24,"April 24, 2024",5,10,About 17 cookies
45 minutes,3,22,3,"April 24, 2024",3,4,About 2 cups
20 minutes,4,280,58,"April 16, 2024",4,10,2 to 4 servings
20 minutes,,0,0,"April 25, 2024",3,7,2 burgers
20 minutes,4,11,3,"April 23, 2024",4,7,1 sandwich
45 minutes,4,16,0,"April 23, 2024",5,8,4 servings
25 minutes,4,"4,318",349,,4,15,2 to 4 servings
40 minutes,4,15,0,"April 24, 2024",5,14,4 servings
20 minutes,5,"8,118",643,,4,9,4 servings
30 minutes,4,549,65,"March 21, 2024",5,11,4 servings
15 minutes,5,"3,845",442,,5,11,4 servings
1 hour 30 minutes,4,657,48,"Dec. 21, 2023",6,10,12 rolls
30 minutes,4,40,2,"April 19, 2024",1,6,4 servings
35 minutes,4,120,16,"April 19, 2024",7,12,4 servings
About 45 minutes,5,"10,824",1086,,4,8,12 brownies
"1 hour 30 minutes, plus at least 15 minutes' refrigeration",5,"8,315",122,"March 27, 2024",9,18,8 to 12 servings
30 minutes,5,"12,690",1441,,3,11,4 servings
"5 minutes, plus optional resting",4,"1,467",148,,3,6,2 to 3 servings
35 minutes,4,591,58,"March 27, 2024",3,8,4 servings
30 minutes,4,296,42,"April 19, 2024",3,6,4 servings
20 minutes,4,"7,587",573,"Nov. 13, 2023",3,6,4 servings
15 minutes,4,"2,133",186,,5,5,2 servings
30 minutes,4,"3,143",289,,5,8,4 servings
30 minutes,4,635,55,"Nov. 28, 2023",3,7,4 to 6 servings.
15 minutes,4,555,60,,3,5,4 servings
30 minutes,5,"2,256",137,,4,8,4 to 6 servings
5 minutes,5,377,27,,1,7,About ½ cup / 5 ounces/ 150 g
20 minutes,4,922,43,,5,9,4 servings
50 minutes,4,866,95,"Oct. 26, 2023",4,10,4 to 6 servings
About 1 hour,,0,0,"April 25, 2024",5,10,6 servings
15 minutes,4,439,29,"March 27, 2024",4,7,6 quesadillas
30 minutes,4,397,45,"March 21, 2024",3,13,3 to 4 servings
45 minutes,4,234,16,"Jan. 26, 2024",6,18,4 servings
1 ¾ hours,4,148,12,"April 9, 2024",3,7,4 servings
45 minutes,5,"1,353",160,"April 22, 2024",7,14,4 servings (about 4 heaping cups)
50 minutes,3,16,1,"April 19, 2024",5,20,4 to 6 servings
6½ hours,4,969,259,"Jan. 24, 2024",4,11,6 to 8 servings
40 minutes,4,"1,318",161,"Jan. 19, 2024",5,12,4 servings
About 4 hours 30 minutes,4,190,18,"Feb. 15, 2024",6,3,4 servings
25 minutes,4,"1,804",197,"Jan. 22, 2024",4,8,4 servings
55 minutes,4,881,163,"Oct. 11, 2023",5,17,4 servings
35 minutes,4,"2,131",239,"March 28, 2024",5,17,4 servings
20 minutes,5,"1,565",148,,5,9,2 servings
30 minutes,4,12,0,"April 23, 2024",4,14,4 to 6 servings
